S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs)
1,Suzuki Bolan VX 2010,Suzuki,2010,60000,Petrol,Manual,Lahore,Maroon,800,Mini Van,6.45
2,Suzuki Alto VXR 2006,Suzuki,2006,54000,Petrol,Manual,Islamabad,White,1000,Hatchback,6.45
3,Suzuki Cultus VXR 2006,Suzuki,2006,50000,Petrol,Manual,Lahore,Silver,1000,Hatchback,6.45
4,Suzuki Mehran VX (CNG) 2012,Suzuki,2012,59000,Petrol,Manual,Lahore,Black,800,Hatchback,6.45
5,Suzuki Mehran VX 2011,Suzuki,2011,45000,Petrol,Manual,Sindh,White,800,Hatchback,6.5
6,Suzuki Potohar Basegrade 1986,Suzuki,1986,19999,Diesel,Manual,Lahore,Orange,1000,SUV,6.5
7,Suzuki Cultus VXL 2000,Suzuki,2000,10000,Hybrid,Manual,Abbottabad,Black,1000,Hatchback,6.5
8,Suzuki Mehran VXR (CNG) 2011,Suzuki,2011,40000,Petrol,Manual,Lahore,Grey,800,Hatchback,6.5
9,Suzuki Cultus VXR 2006,Suzuki,2006,35385,Petrol,Manual,Sindh,Silver,1000,Hatchback,6.5
10,Suzuki Mehran VX 2012,Suzuki,2012,50000,Petrol,Manual,Sheikhupura,Black,800,Hatchback,6.5
11,Suzuki Mehran VX 2012,Suzuki,2012,60000,Petrol,Manual,Lahore,White,800,Hatchback,6.5
12,Suzuki Ravi Euro II 2015,Suzuki,2015,35000,Petrol,Manual,Punjab,Green,800,Pick Up,6.5
13,Suzuki Alto VXR (CNG) 2003,Suzuki,2003,50000,Petrol,Manual,Lahore,Gold,1000,Hatchback,6.5
14,Suzuki Cultus VXR (CNG) 2003,Suzuki,2003,40000,Petrol,Manual,Lahore,Silver,1000,Hatchback,6.5
15,Suzuki Bolan VX Euro II 2012,Suzuki,2012,50000,Petrol,Manual,Islamabad,White,800,Van,6.5
16,Suzuki Cultus VXR 2003,Suzuki,2003,60000,Petrol,Manual,Lahore,Silver,1000,Hatchback,6.5
17,Suzuki Cultus VXR 2004,Suzuki,2004,1234,Petrol,Manual,Lahore,Silver,1000,Hatchback,6.5
18,Suzuki Mehran VXR 2008,Suzuki,2008,1000,Petrol,Manual,Lahore,White,800,Hatchback,6.5
19,Suzuki Bolan VX Euro II 2015,Suzuki,2015,45000,Petrol,Manual,Lahore,Green,800,Van,6.55
