S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs),PredictedPrice_LR,PredictedPrice_RR,PredictedPrice_SVR
1,Suzuki Bolan VX 2010,Suzuki,2010,60000,Petrol,Manual,Lahore,Maroon,800.0,Mini Van,6.45,-6.119897334355301,-6.016137197929311,21.64808433519292
2,Suzuki Alto VXR 2006,Suzuki,2006,54000,Petrol,Manual,Islamabad,White,1000.0,Hatchback,6.45,-3.434653164287738,-3.315049876881858,26.73980160257768
3,Suzuki Cultus VXR 2006,Suzuki,2006,50000,Petrol,Manual,Lahore,Silver,1000.0,Hatchback,6.45,-5.417758325595969,-5.310416982055358,26.7396735867896
4,Suzuki Mehran VX (CNG) 2012,Suzuki,2012,59000,Petrol,Manual,Lahore,Black,800.0,Hatchback,6.45,5.4057535338188245,5.540191924654209,21.656598543161216
5,Suzuki Mehran VX 2011,Suzuki,2011,45000,Petrol,Manual,Sindh,White,800.0,Hatchback,6.5,1.0670127815565138,1.1091467171436307,21.652243786278014
6,Suzuki Potohar Basegrade 1986,Suzuki,1986,19999,Diesel,Manual,Lahore,Orange,1000.0,SUV,6.5,-8.537946322133394,-8.69134670220501,26.65679490497103
7,Suzuki Cultus VXL 2000,Suzuki,2000,10000,Hybrid,Manual,Abbottabad,Black,1000.0,Hatchback,6.5,-8.222691835671867,-8.030467608668005,26.714756626897895
8,Suzuki Mehran VXR (CNG) 2011,Suzuki,2011,40000,Petrol,Manual,Lahore,Grey,800.0,Hatchback,6.5,1.28379955877881,1.3658081828825743,21.652181456809664
9,Suzuki Cultus VXR 2006,Suzuki,2006,35385,Petrol,Manual,Sindh,Silver,1000.0,Hatchback,6.5,-5.694799321387109,-5.636546691926014,26.739676729076855
10,Suzuki Mehran VX 2012,Suzuki,2012,50000,Petrol,Manual,Sheikhupura,Black,800.0,Hatchback,6.5,6.9892801274736485,6.629564789519463,21.65669540416401
11,Suzuki Mehran VX 2012,Suzuki,2012,60000,Petrol,Manual,Lahore,White,800.0,Hatchback,6.5,3.4304116900757435,3.5112779245091588,21.656459072886364
12,Suzuki Ravi Euro II 2015,Suzuki,2015,35000,Petrol,Manual,Punjab,Green,800.0,Pick Up,6.5,9.558762329488673,9.407331767132746,21.66934169936478
13,Suzuki Alto VXR (CNG) 2003,Suzuki,2003,50000,Petrol,Manual,Lahore,Gold,1000.0,Hatchback,6.5,-10.46989639959611,-10.321097755398114,26.726918923787487
14,Suzuki Cultus VXR (CNG) 2003,Suzuki,2003,40000,Petrol,Manual,Lahore,Silver,1000.0,Hatchback,6.5,-11.67683206377842,-11.538421474540883,26.726890638980848
15,Suzuki Bolan VX Euro II 2012,Suzuki,2012,50000,Petrol,Manual,Islamabad,White,800.0,Van,6.5,-0.2197107052370484,-0.08822759971917549,21.6565901868018
16,Suzuki Cultus VXR 2003,Suzuki,2003,60000,Petrol,Manual,Lahore,Silver,1000.0,Hatchback,6.5,-11.67683206377842,-11.538421474540883,26.726890638980848
17,Suzuki Cultus VXR 2004,Suzuki,2004,1234,Petrol,Manual,Lahore,Silver,1000.0,Hatchback,6.5,-9.59047415105033,-9.462419977045101,26.731140653665157
18,Suzuki Mehran VXR 2008,Suzuki,2008,1000,Petrol,Manual,Lahore,White,800.0,Hatchback,6.5,-4.915019960833888,-4.792728065470328,21.639658234438727
19,Suzuki Bolan VX Euro II 2015,Suzuki,2015,45000,Petrol,Manual,Lahore,Green,800.0,Van,6.55,2.538936343471505,2.7644735692501854,21.669226192541664
20,Suzuki Bolan VX (CNG) 2006,Suzuki,2006,4500,Petrol,Manual,Lahore,White,800.0,Mini Van,6.55,-10.834422954848378,-10.649008390176277,21.631366846884553
21,Suzuki Cultus VXR (CNG) 2002,Suzuki,2002,20000,Petrol,Manual,Islamabad,Silver,1000.0,Hatchback,6.55,-12.614829977529553,-12.483648020453074,26.722758741443997
22,Daihatsu Cuore CL 2005,Daihatsu,2005,1111,Petrol,Manual,Punjab,Silver,800.0,Hatchback,6.6,-6.1738384660638985,-6.378629134226685,21.627500502617792
23,Suzuki Bolan GL 2007,Suzuki,2007,30000,Petrol,Manual,Islamabad,White,800.0,Micro Van,6.6,-3.374933654691631,-3.38462695981616,21.635667869113767
24,Suzuki Mehran VX (CNG) 2009,Suzuki,2009,50000,Petrol,Manual,Lahore,Grey,800.0,Hatchback,6.6,-2.888916266675551,-2.786194812107169,21.643781034978176
25,Suzuki Mehran VXR Euro II 2014,Suzuki,2014,60000,Petrol,Manual,Sindh,White,800.0,Hatchback,6.6,7.326086519738965,7.337151209628246,21.66493788924617
26,Suzuki Ravi Euro II 2015,Suzuki,2015,31500,Petrol,Manual,Lahore,Green,800.0,Pick Up,6.6,9.135426989978441,9.052587851995668,21.66925947837975
